playername,gp,tp,ppg,gpg,apg,pmpg,+/-pg,position_C,position_D,position_F,position_L,position_R,position_W
A.J. Greer,47,8,0.146,0.03555555555555555,0.11084967320261438,2.1322875816993463,-0.08313725490196078,0.0,0.0,0.0,1.0,0.0,0
Aaron Broten,748,515,0.6025,0.22323515370991354,0.37960996202627406,0.5325172254318087,-0.11009791497683334,1.0,0.0,0.0,0.0,0.0,0
Aaron Downey,280,20,0.095,0.04741352648329392,0.04761193918170662,1.8246972055111592,-0.04956202049225304,0.0,0.0,0.0,0.0,1.0,0
Aaron Ekblad,554,291,0.54125,0.18449842748402956,0.3581785194360028,0.6212268341621224,0.13844321805664267,0.0,1.0,0.0,0.0,0.0,0
Aaron Gagnon,38,5,0.1025,0.075,0.02631578947368421,0.05,-0.025187969924812023,1.0,0.0,0.0,0.0,0.0,0
Aaron Gavey,360,91,0.19555555555555557,0.0794927864573197,0.11678881106877788,0.7363893906472798,-0.09225824959224638,1.0,0.0,0.0,0.0,0.0,0
Aaron Johnson,320,70,0.20444444444444446,0.054901579097436135,0.1484495963523046,0.8778697843904791,0.02963570189231648,0.0,1.0,0.0,0.0,0.0,0
Aaron MacKenzie,5,0,0.0,0.0,0.0,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0
Aaron Miller,712,122,0.15200000000000002,0.02872934739863136,0.12328446842791137,0.569347504281089,-0.034367836441375754,0.0,1.0,0.0,0.0,0.0,0
Aaron Ness,72,7,0.08142857142857143,0.0071428571428571435,0.0738095238095238,0.28174603174603174,-0.05119047619047619,0.0,1.0,0.0,0.0,0.0,0
Aaron Palushaj,68,14,0.1225,0.026578947368421053,0.09631578947368422,0.29929824561403506,-0.055087719298245616,0.0,0.0,0.0,0.0,1.0,0
Aaron Rome,226,28,0.11000000000000001,0.021212991010357632,0.08770060285095951,0.6942293836139107,-0.1925438289010695,0.0,1.0,0.0,0.0,0.0,0
Aaron Volpatti,114,7,0.05600000000000001,0.03784568912882804,0.019393939393939394,0.9862180661332305,-0.057479996143834956,0.0,0.0,0.0,1.0,0.0,0
