,gp,tp,gpg,apg,pmpg,+/-pg,position_C,position_D,position_F,position_L,position_R,position_W,ppg
42147,15,2,0.06666666666666667,0.06666666666666667,0.9333333333333333,-0.13333333333333333,0,0,0,1,0,0,0.13
44108,1,0,0.0,0.0,7.0,0.0,0,0,0,1,0,0,0.0
44951,9,2,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.0,0,0,0,1,0,0,0.22
17316,77,36,0.24675324675324675,0.22077922077922077,0.7532467532467533,-0.2987012987012987,1,0,0,0,0,0,0.47
18086,47,19,0.23404255319148937,0.1702127659574468,0.8085106382978723,-0.3191489361702128,1,0,0,0,0,0,0.4
18884,25,9,0.16,0.2,0.56,0.08,1,0,0,0,0,0,0.36
31491,21,1,0.047619047619047616,0.0,2.2857142857142856,-0.2857142857142857,0,0,0,0,1,0,0.05
32305,56,3,0.0,0.05357142857142857,2.0714285714285716,0.0,0,0,0,0,1,0,0.05
33183,4,2,0.25,0.25,1.75,0.0,0,0,0,0,1,0,0.5
42474,67,41,0.07462686567164178,0.5373134328358209,0.3880597014925373,0.1791044776119403,0,1,0,0,0,0,0.61
43475,35,22,0.3142857142857143,0.3142857142857143,0.9428571428571428,0.14285714285714285,0,1,0,0,0,0,0.63
44263,61,57,0.2459016393442623,0.6885245901639344,0.4262295081967213,0.6229508196721312,0,1,0,0,0,0,0.93
34975,19,2,0.0,0.10526315789473684,0.0,-0.15789473684210525,1,0,0,0,0,0,0.11
36042,7,0,0.0,0.0,0.0,-0.14285714285714285,1,0,0,0,0,0,0.0
36658,10,3,0.3,0.0,0.2,0.2,1,0,0,0,0,0,0.3
26665,71,17,0.08450704225352113,0.15492957746478872,0.5352112676056338,-0.29577464788732394,1,0,0,0,0,0,0.24
27912,5,1,0.0,0.2,0.0,0.2,1,0,0,0,0,0,0.2
30731,5,0,0.0,0.0,0.4,0.0,1,0,0,0,0,0,0.0
33898,41,10,0.0975609756097561,0.14634146341463414,0.8536585365853658,-0.14634146341463414,0,1,0,0,0,0,0.24
35559,56,16,0.05357142857142857,0.23214285714285715,0.4642857142857143,-0.21428571428571427,0,1,0,0,0,0,0.29
36899,10,0,0.0,0.0,1.0,0.0,0,1,0,0,0,0,0.0
30465,56,8,0.0,0.14285714285714285,0.48214285714285715,-0.10714285714285714,0,1,0,0,0,0,0.14
31332,82,8,0.0,0.0975609756097561,0.7317073170731707,-0.17073170731707318,0,1,0,0,0,0,0.1
